Frequency;;nTaskUserLoopNoneCompensateNone;nTaskManualLoopNoneCompensateNone;nExclusiveGatewayNoMarker;nExclusiveGatewayMarker;nParallelGateway;nInclusiveGateway;nEventBasedGateway;nComplexGateway;nStartMultipleEventDefinition;nStartNoneEventDefinition;nStartSignalEventDefinition;nStartConditionalEventDefinition;nStartTimerEventDefinition;nEndNoneEventDefinition;nEndTerminateEventDefinition;nIntermediateCatchMultipleEventDefinition;nIntermediateCatchMessageEventDefinition;nIntermediateCatchTimerEventDefinition;nIntermediateCatchConditionalEventDefinition;nIntermediateCatchLinkEventDefinition;nIntermediateCatchSignalEventDefinition;nIntermediateThrowNoneEventDefinition;nIntermediateThrowLinkEventDefinition;nIntermediateBoundaryMessageEvent;nIntermediateBoundaryTimerEvent;nIntermediateBoundaryCancelEvent;nIntermediateBoundaryConditionalEvent;nSequenceFlow;nDefaultFlow;nConditionalFlow;nChoreographyTask;nChoreographyMessage;nChoreographyTaskSequentialMultipleInstance;nChoreographyTaskParallelMultipleInstance;nChoreographyTaskLoop;nChoreographySubprocessCollapsed;nChoreographySubprocessCollapsedParallelMultipleInstance;nChoreographySubprocessCollapsedCall;nChoreographySubprocessExpanded;nChoreographySubprocessExpandedSequentialMultipleInstance;nChoreographySubprocessExpandedParallelMultipleInstance;nChoreographyParticipant;nChoreographyParticipantMultiple;nAssociationUndirected;nAssociationUnidirectional;nGroup;nTextAnnotation
7112;nChoreographyParticipant;0,033282809;0,033282809;-0,004622828;0,611130878;0,34098276;0,213427488;0,226450348;0,1066863;-0,030390899;0,368833743;-0,013046303;-0,005042721;0,000781378;0,506838998;0,21945781;0,126492721;0,160173541;0,416361308;0,040189091;0,083831193;0,043163228;0,033421282;0,057550333;0,112692264;0,170426261;0,038169783;0,162871597;0,847622202;0,179440156;0,023343052;0,865686348;0,464780404;0,045918021;0,135288271;0,154249553;0,214407917;-0,008757121;-0,076233891;0,150571684;0,037494546;0,013903533;1;-0,012176034;0,269501383;0,165120152;0,070891213;0,220742353
6485;nSequenceFlow;0,045614648;0,045614648;-0,016265983;0,831602136;0,443366468;0,259101986;0,376887414;0,126342683;-0,034703926;0,408941428;-0,016265983;-0,040795198;0,023516882;0,606974868;0,283796461;0,144784021;0,250496693;0,518545669;0,093374125;0,087864043;0,024288604;0,071754528;0,071075981;0,140482613;0,24291674;0,076247548;0,193731523;1;0,166852605;0,005899741;0,885922297;0,511105394;0,045614648;0,175058954;0,23145324;0,096247825;0,017638679;-0,044928986;0,09681766;0,008486269;0,04097397;0,847622202;-0,014664348;0,24898484;0,100422169;0,141033028;0,211048754
3418;nChoreographyTask;0,032749313;0,032749313;-0,002604319;0,678881077;0,346444701;0,220556381;0,257624143;0,10418205;-0,028708352;0,300509922;-0,011442727;-0,0169325;-0,007226276;0,491180978;0,269906139;0,133752511;0,164016366;0,384897585;0,031795172;0,05383064;-0,025731579;0,00245487;0,036136373;0,115167496;0,120901985;-0,003686466;0,174507017;0,885922297;0,173843232;-0,0100206;1;0,5115674;0,006234089;0,068505294;0,08637203;-0,088034556;-0,065207444;-0,076091334;0,016303309;0,023910905;-0,024968352;0,865686348;-0,026599813;0,25429894;0,015177706;0,212228124;0,263270736
2350;nChoreographyMessage;-0,035437985;-0,035437985;0,021881071;0,37865522;0,242284031;0,253783967;0,254441602;0,095942883;0,001995854;0,248578929;-0,035437985;0,022365707;-0,003011804;0,423210353;0,234346487;0,140937916;-0,054257001;0,321481138;0,026651747;0,10006864;-0,03210652;-0,026305106;0,095236036;-0,050163177;0,232451682;0,007791302;0,228964072;0,511105394;0,277325936;-0,054037112;0,5115674;1;-0,010872675;0,18059431;0,141433669;-0,094962873;-0,054721708;-0,061493953;-0,075000842;-0,035437985;-0,023603211;0,464780404;-0,029923429;0,351022646;-0,067576094;0,068271044;0,262639357
907;nExclusiveGatewayMarker;0,006129215;0,006129215;-0,031056971;1;0,233392193;0,243881854;0,139171976;0,092183963;-0,043961763;0,268503973;-0,031056971;-0,035015352;0,006979144;0,398100696;0,239707347;0,045157784;0,094799863;0,38228476;0,151520638;0,04914104;-0,016765795;0,00689864;0,038054803;0,17974884;0,166927061;0,061313815;0,180728327;0,831602136;0,159943062;0,142216153;0,678881077;0,37865522;0,0433154;0,112716415;0,173666006;0,018739068;-0,009522073;-0,032382599;0,083973334;-0,031056971;0,010635753;0,611130878;-0,047298268;0,206780501;0,065068773;0,155542564;0,203974916
740;nEndNoneEventDefinition;-0,01290724;-0,01290724;-0,01290724;0,398100696;0,324441186;0,059514274;0,302959796;0,010388108;-0,018270456;0,455799619;-0,01290724;-0,047061608;0,065159229;1;0,119416365;0,339400987;0,152204105;0,284168357;0,073802322;-0,029146731;-0,08492692;0,065105818;-0,03984635;0,006909386;0,149198335;0,157988435;0,273498463;0,606974868;0,111827485;0,053650225;0,491180978;0,423210353;-0,01290724;0,085183094;0,101951463;0,093279395;0,110337355;-0,001819075;0,002423777;-0,01290724;0,183385464;0,506838998;0,033312042;0,248226784;0,03046454;-0,020750372;0,161433501
484;nStartNoneEventDefinition;0,00880421;0,00880421;0,00880421;0,268503973;0,190950283;0,079839985;0,117712667;0,047478022;-0,102235034;1;0,00880421;-0,263340176;-0,217013222;0,455799619;0,208248766;0,030543048;0,020732761;0,138216492;0,039667689;-0,03945746;-0,013704731;-0,056816294;0,015268047;0,012462535;0,162441526;0,012462535;0,014159409;0,408941428;0,206425432;-0,041535928;0,300509922;0,248578929;0,00880421;0,096652736;0,071089203;0,21113335;-0,044719662;0,015277552;0,13399784;0,00880421;0,062145975;0,368833743;0,055198802;0,130747532;0,157809422;-0,034184565;0,0468604
376;nAssociationUndirected;-0,013349267;-0,013349267;-0,013349267;0,206780501;0,079825954;0,096543574;0,069591673;0,16989301;0,022037137;0,130747532;-0,013349267;-0,043266263;0,253896279;0,248226784;0,169101377;0,126039391;-0,035966463;0,19315696;0,027622178;-0,000328723;0,012718843;0,006183002;-0,00153445;-0,018896154;0,030853004;0,008392707;-0,021469018;0,24898484;0,116691398;-0,003326745;0,25429894;0,351022646;-0,013349267;0,024672397;0,028711912;-0,007209204;-0,025287801;-0,023164387;-0,038658394;-0,013349267;0,032590321;0,269501383;0,085652527;1;-0,023988299;0,118734505;0,807130808
294;nTextAnnotation;0,041964025;0,041964025;-0,009241516;0,203974916;0,07190689;0,002624224;0,037298163;0,137741643;0,035240094;0,0468604;-0,009241516;-0,028908617;0,252022137;0,161433501;0,20296378;0,019274469;-0,022931696;0,179031723;0,000996418;-0,002436637;0,051116657;-0,008086167;0,001580367;-0,01308155;0,032802;-0,01308155;-0,014862708;0,211048754;0,082291656;-0,026199143;0,263270736;0,262639357;-0,009241516;0,021123202;0,027173124;-0,009620299;-0,0175064;-0,006163646;-0,027776608;-0,009241516;0,043200069;0,220742353;0,03143264;0,807130808;-0,018100474;0,322458927;1
209;nChoreographySubprocessCollapsed;-0,01344908;-0,01344908;-0,01344908;0,018739068;0,024722682;-0,035307784;-0,015535631;-0,028622372;-0,019037441;0,21113335;-0,01344908;-0,009836324;0,088117444;0,093279395;0,188158022;-0,028915427;-0,028121984;0,006214439;0,002970264;0,021379847;0,158539998;0,048928416;0,004710983;-0,019037441;-0,020359773;0,079884383;-0,021629542;0,096247825;0,076805679;0,139134533;-0,088034556;-0,094962873;-0,01344908;-0,020579232;-0,022409426;1;0,093667148;-0,023337588;0,372034812;-0,01344908;0,037295475;0,214407917;-0,025909688;-0,007209204;0,579817515;-0,019689277;-0,009620299
